chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	180298907	74.39	0	2827
Supercontig_1.1_region	2423571	180298907	74.39	0	2827
Supercontig_1.2	2215196	165509678	74.72	0	795
Supercontig_1.2_region	2215196	165509678	74.72	0	795
Supercontig_1.3	1874050	157746362	84.17	0	3571
Supercontig_1.3_region	1874050	157746362	84.17	0	3571
Supercontig_1.4	1787903	136390888	76.29	0	381
Supercontig_1.4_region	1787903	136390888	76.29	0	381
Supercontig_1.5	1456586	112482525	77.22	0	751
Supercontig_1.5_region	1456586	112482525	77.22	0	751
Supercontig_1.6	814710	60720604	74.53	0	712
Supercontig_1.6_region	814710	60720604	74.53	0	712
Supercontig_1.7	779898	56643068	72.63	0	7523
Supercontig_1.7_region	779898	56643068	72.63	0	7523
Supercontig_1.8	744036	54239316	72.90	0	3232
Supercontig_1.8_region	744036	54239316	72.90	0	3232
MT_CBS_6936	24896	132219738	5310.88	0	11517
MT_CBS_6936_region	24896	132219738	5310.88	0	11517
total	12120846	1056251086	87.14	0	11517
total_region	12120846	1056251086	87.14	0	11517
