chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	172061281	70.99	0	292
Supercontig_1.1_region	2423571	172061281	70.99	0	292
Supercontig_1.2	2215196	156558920	70.67	0	897
Supercontig_1.2_region	2215196	156558920	70.67	0	897
Supercontig_1.3	1874050	147566585	78.74	0	3094
Supercontig_1.3_region	1874050	147566585	78.74	0	3094
Supercontig_1.4	1787903	134014743	74.96	0	424
Supercontig_1.4_region	1787903	134014743	74.96	0	424
Supercontig_1.5	1456586	112951422	77.55	0	759
Supercontig_1.5_region	1456586	112951422	77.55	0	759
Supercontig_1.6	814710	97587012	119.78	0	839
Supercontig_1.6_region	814710	97587012	119.78	0	839
Supercontig_1.7	779898	63245424	81.09	0	973
Supercontig_1.7_region	779898	63245424	81.09	0	973
Supercontig_1.8	744036	57747451	77.61	0	3013
Supercontig_1.8_region	744036	57747451	77.61	0	3013
MT_CBS_6936	24896	306508702	12311.56	1	18679
MT_CBS_6936_region	24896	306508702	12311.56	1	18679
total	12120846	1248241540	102.98	0	18679
total_region	12120846	1248241540	102.98	0	18679
