chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	57614134	23.77	0	14342
Supercontig_1.1_region	2423571	57614134	23.77	0	14342
Supercontig_1.2	2215196	54434233	24.57	0	822
Supercontig_1.2_region	2215196	54434233	24.57	0	822
Supercontig_1.3	1874050	52743100	28.14	0	2887
Supercontig_1.3_region	1874050	52743100	28.14	0	2887
Supercontig_1.4	1787903	44192999	24.72	0	1469
Supercontig_1.4_region	1787903	44192999	24.72	0	1469
Supercontig_1.5	1456586	38479558	26.42	0	418
Supercontig_1.5_region	1456586	38479558	26.42	0	418
Supercontig_1.6	814710	22538839	27.66	0	402
Supercontig_1.6_region	814710	22538839	27.66	0	402
Supercontig_1.7	779898	24764631	31.75	0	74684
Supercontig_1.7_region	779898	24764631	31.75	0	74684
Supercontig_1.8	744036	20700966	27.82	0	907
Supercontig_1.8_region	744036	20700966	27.82	0	907
MT_CBS_6936	24896	5525249	221.93	0	999
MT_CBS_6936_region	24896	5525249	221.93	0	999
total	12120846	320993709	26.48	0	74684
total_region	12120846	320993709	26.48	0	74684
