chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	113526746	46.84	0	15534
Supercontig_1.1_region	2423571	113526746	46.84	0	15534
Supercontig_1.2	2215196	107081103	48.34	0	742
Supercontig_1.2_region	2215196	107081103	48.34	0	742
Supercontig_1.3	1874050	98331155	52.47	0	3461
Supercontig_1.3_region	1874050	98331155	52.47	0	3461
Supercontig_1.4	1787903	85620201	47.89	0	1667
Supercontig_1.4_region	1787903	85620201	47.89	0	1667
Supercontig_1.5	1456586	74742320	51.31	0	764
Supercontig_1.5_region	1456586	74742320	51.31	0	764
Supercontig_1.6	814710	43937684	53.93	0	401
Supercontig_1.6_region	814710	43937684	53.93	0	401
Supercontig_1.7	779898	45715871	58.62	0	83611
Supercontig_1.7_region	779898	45715871	58.62	0	83611
Supercontig_1.8	744036	39832003	53.54	0	1907
Supercontig_1.8_region	744036	39832003	53.54	0	1907
MT_CBS_6936	24896	7917665	318.03	0	1653
MT_CBS_6936_region	24896	7917665	318.03	0	1653
total	12120846	616704748	50.88	0	83611
total_region	12120846	616704748	50.88	0	83611
