chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	81699235	33.71	0	17604
Supercontig_1.1_region	2423571	81699235	33.71	0	17604
Supercontig_1.2	2215196	79591200	35.93	0	7623
Supercontig_1.2_region	2215196	79591200	35.93	0	7623
Supercontig_1.3	1874050	85434623	45.59	0	3934
Supercontig_1.3_region	1874050	85434623	45.59	0	3934
Supercontig_1.4	1787903	68888838	38.53	0	2107
Supercontig_1.4_region	1787903	68888838	38.53	0	2107
Supercontig_1.5	1456586	58478989	40.15	0	852
Supercontig_1.5_region	1456586	58478989	40.15	0	852
Supercontig_1.6	814710	40721993	49.98	0	1205
Supercontig_1.6_region	814710	40721993	49.98	0	1205
Supercontig_1.7	779898	44162544	56.63	0	87150
Supercontig_1.7_region	779898	44162544	56.63	0	87150
Supercontig_1.8	744036	41228542	55.41	0	1607
Supercontig_1.8_region	744036	41228542	55.41	0	1607
MT_CBS_6936	24896	3445835	138.41	0	762
MT_CBS_6936_region	24896	3445835	138.41	0	762
total	12120846	503651799	41.55	0	87150
total_region	12120846	503651799	41.55	0	87150
