chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	94901523	39.16	0	16511
Supercontig_1.1_region	2423571	94901523	39.16	0	16511
Supercontig_1.2	2215196	96504514	43.56	0	2156
Supercontig_1.2_region	2215196	96504514	43.56	0	2156
Supercontig_1.3	1874050	97385721	51.97	0	3607
Supercontig_1.3_region	1874050	97385721	51.97	0	3607
Supercontig_1.4	1787903	81445630	45.55	0	1657
Supercontig_1.4_region	1787903	81445630	45.55	0	1657
Supercontig_1.5	1456586	75210788	51.63	0	916
Supercontig_1.5_region	1456586	75210788	51.63	0	916
Supercontig_1.6	814710	46452569	57.02	0	488
Supercontig_1.6_region	814710	46452569	57.02	0	488
Supercontig_1.7	779898	48858069	62.65	0	92460
Supercontig_1.7_region	779898	48858069	62.65	0	92460
Supercontig_1.8	744036	45515066	61.17	0	1836
Supercontig_1.8_region	744036	45515066	61.17	0	1836
MT_CBS_6936	24896	7369729	296.02	0	1423
MT_CBS_6936_region	24896	7369729	296.02	0	1423
total	12120846	593643609	48.98	0	92460
total_region	12120846	593643609	48.98	0	92460
