chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	173975238	71.78	0	392
Supercontig_1.1_region	2423571	173975238	71.78	0	392
Supercontig_1.2	2215196	162120988	73.19	0	8514
Supercontig_1.2_region	2215196	162120988	73.19	0	8514
Supercontig_1.3	1874050	156445502	83.48	0	11334
Supercontig_1.3_region	1874050	156445502	83.48	0	11334
Supercontig_1.4	1787903	132976076	74.38	0	1656
Supercontig_1.4_region	1787903	132976076	74.38	0	1656
Supercontig_1.5	1456586	113575286	77.97	0	10064
Supercontig_1.5_region	1456586	113575286	77.97	0	10064
Supercontig_1.6	814710	56309419	69.12	0	642
Supercontig_1.6_region	814710	56309419	69.12	0	642
Supercontig_1.7	779898	55511368	71.18	0	2818
Supercontig_1.7_region	779898	55511368	71.18	0	2818
Supercontig_1.8	744036	59991889	80.63	0	8431
Supercontig_1.8_region	744036	59991889	80.63	0	8431
MT_CBS_6936	24896	199919251	8030.18	0	18907
MT_CBS_6936_region	24896	199919251	8030.18	0	18907
total	12120846	1110825017	91.65	0	18907
total_region	12120846	1110825017	91.65	0	18907
