chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	117881508	48.64	0	11271
Supercontig_1.1_region	2423571	117881508	48.64	0	11271
Supercontig_1.2	2215196	113450835	51.21	0	751
Supercontig_1.2_region	2215196	113450835	51.21	0	751
Supercontig_1.3	1874050	109239314	58.29	0	4264
Supercontig_1.3_region	1874050	109239314	58.29	0	4264
Supercontig_1.4	1787903	90990476	50.89	0	1318
Supercontig_1.4_region	1787903	90990476	50.89	0	1318
Supercontig_1.5	1456586	81756842	56.13	0	819
Supercontig_1.5_region	1456586	81756842	56.13	0	819
Supercontig_1.6	814710	46795759	57.44	0	402
Supercontig_1.6_region	814710	46795759	57.44	0	402
Supercontig_1.7	779898	48211639	61.82	0	56887
Supercontig_1.7_region	779898	48211639	61.82	0	56887
Supercontig_1.8	744036	43125767	57.96	0	2285
Supercontig_1.8_region	744036	43125767	57.96	0	2285
MT_CBS_6936	24896	10208585	410.05	0	2105
MT_CBS_6936_region	24896	10208585	410.05	0	2105
total	12120846	661660725	54.59	0	56887
total_region	12120846	661660725	54.59	0	56887
