chrom	length	bases	mean	min	max
Supercontig_1.1	2423571	52430664	21.63	0	159
Supercontig_1.1_region	2423571	52430664	21.63	0	159
Supercontig_1.2	2215196	49631186	22.40	0	139
Supercontig_1.2_region	2215196	49631186	22.40	0	139
Supercontig_1.3	1874050	53527589	28.56	0	2463
Supercontig_1.3_region	1874050	53527589	28.56	0	2463
Supercontig_1.4	1787903	38465676	21.51	0	84
Supercontig_1.4_region	1787903	38465676	21.51	0	84
Supercontig_1.5	1456586	31560544	21.67	0	93
Supercontig_1.5_region	1456586	31560544	21.67	0	93
Supercontig_1.6	814710	18204031	22.34	0	190
Supercontig_1.6_region	814710	18204031	22.34	0	190
Supercontig_1.7	779898	18333731	23.51	0	588
Supercontig_1.7_region	779898	18333731	23.51	0	588
Supercontig_1.8	744036	19100963	25.67	0	1489
Supercontig_1.8_region	744036	19100963	25.67	0	1489
MT_CBS_6936	24896	7177358	288.29	210	397
MT_CBS_6936_region	24896	7177358	288.29	210	397
total	12120846	288431742	23.80	0	2463
total_region	12120846	288431742	23.80	0	2463
